id,canonical_name,country_iso,country_tier,country_tier_label,trl_level,trl_band,trl_evidence,trl_confidence,trl_source_url,trl_history_count,subsystem_count,primary_approach,all_approaches,tech_tree_node_count,tech_tree_primary_node,tech_tree_primary_method,tech_tree_primary_confidence,tech_tree_primary_reasoning,tech_tree_primary_source_url,tech_tree_all_nodes,tech_tree_all_methods,tech_tree_all_confidences,tech_tree_all_reasonings,tech_tree_all_source_urls,tech_tree_product_clusters,vc_funding_stage,vc_funding_stage_reasoning,foreign_ownership_flag,foreign_ownership_flag_reasoning,key_investors,key_investors_count,role_in_supply_chain,role_in_supply_chain_confidence,role_in_supply_chain_reasoning,role_in_supply_chain_source_url,regulatory_risk_score,regulatory_risk_score_confidence,regulatory_risk_score_reasoning,regulatory_risk_score_source_url,export_control_exposure,export_control_exposure_confidence,export_control_exposure_reasoning,customer_count_band,customer_count_band_reasoning,current_capacity,current_capacity_reasoning,manufacturing_countries,manufacturing_countries_reasoning,critical_material_deps,sole_source_dependency,critical_material_deps_reasoning,financial_risk_score,financial_risk_label,financial_risk_summary,commercial_risk_score,commercial_risk_label,commercial_risk_summary,manufacturing_risk_score,manufacturing_risk_label,manufacturing_risk_summary,geopolitical_risk_score,geopolitical_risk_label,geopolitical_risk_summary,founded_year,headcount_range,funding_total_usd,domain,linkedin_url,linkedin_industry,linkedin_headquarters,linkedin_specialties,linkedin_company_size_text,has_ownership_chain,ownership_top_shareholders,effective_country_tier,tier_shift,description,source,source_url,discovered_via,confidence,last_seen_at
sandia-national-laboratories,Sandia National Laboratories,US,1,aligned,4,subsystem_demo,Z Machine pulsed-power facility; MagLIF magneto-inertial fusion concept demonstrated single-shot yields.,0.9,https://www.sandia.gov/z-machine/,0,3,,,2,concept_z_pinch,deterministic,0.85,description match 'z-?pinch/FuZE/MagLIF': Description references z-pinch / FuZE / MagLIF — Z-pinch concept.,https://www.sandia.gov/,concept_z_pinch|concept_frc,deterministic|deterministic,0.85|0.70,description match 'z-?pinch/FuZE/MagLIF': Description references z-pinch / FuZE / MagLIF — Z-pinch concept.|description match '\bFRC\b/field[-\s]?reversed/magnetised target/magneto-?inertial': Description references FRC / magnetised-target — Field-Reversed Configuration concept.,https://www.sandia.gov/|https://www.sandia.gov/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.95,Operates Z Machine and MagLIF research,https://www.sandia.gov/,0.85,0.85,DOE/NNSA national lab; pulsed power; nuclear weapons stewardship-adjacent,https://www.sandia.gov/,High,0.9,DOE/NNSA national lab with extensive ITAR/EAR-controlled work,0,National lab,Pilot Line,Operates Z-machine experimental facility,US:manufacturing,US DOE/NNSA national lab,,False,,0.15,low,National lab / university research entity funded by government appropriations rather than VC; minimal burn-out risk.,0.15,low,"National lab / university research entity — not a commercial entity; revenue model is appropriated funding, not market sales.",0.55,medium,Government lab Operator at Pilot Line handling sensitive materials (none); regulated supply but no commercial-scale bottleneck.,0.4,medium,Tier-1 HQ (US) with high export-control exposure; no tier-3 entanglement.,1949,10001+,,sandia.gov,https://www.linkedin.com/company/sandia-national-laboratories,Defense and Space Manufacturing,"Albuquerque, NM","Defense, Energy, Homeland Security, Environmental Sciences, Biotechnology, and Cybersecurity","10,001+ employees",False,,,False,Operates the Z Machine pulsed-power facility; MagLIF magneto-inertial fusion research.,manual,https://www.sandia.gov/,,0.9,2026-05-11 18:47:39
tae-technologies,TAE Technologies,US,1,aligned,4,subsystem_demo,Norman achieved >75 million K plasma; Copernicus device targets fusion conditions (~2025 schedule),0.85,https://tae.com/news/,4,2,magnetic_confinement.field_reversed,magnetic_confinement.field_reversed,2,concept_frc,deterministic,0.95,approach tag 'magnetic_confinement.field_reversed': Field-reversed configuration approach tag maps directly to FRC concept node.,https://www.fusionindustryassociation.org/members,concept_frc|milestone_frc_stable_sustainment,deterministic|manual_gap_fill,0.95|0.90,approach tag 'magnetic_confinement.field_reversed': Field-reversed configuration approach tag maps directly to FRC concept node.|TAE documents field-reversed-configuration plasma sustainment and stable beam-driven FRC operation.,https://www.fusionindustryassociation.org/members|https://tae.com/achievement-of-field-reversed-configuration-plasma-sustainment-via-10-mw-neutral-beam-injection-on-the-c-2u-device/,FRC sustainment,Series C+,Total raised >$100M — Series C or later indicative.,True,Ownership chain includes a non-HQ-country shareholder — flagged.,Chevron Technology Ventures (US) | Google (Alphabet) (US) | New Enterprise Associates (US) | Sumitomo Corporation (JP) | Venrock (US) | Vulcan Inc. (Paul Allen estate) (US) | Wellcome Trust (GB),7,Operator,0.95,Beam-driven FRC concept developer aiming at p-B11 fuel,https://www.fusionindustryassociation.org/members,0.5,0.6,Aneutronic p-B11 goal lowers nuclear risk but advanced plasma tech still significant,https://www.fusionindustryassociation.org/members,High,0.7,Advanced plasma + neutral beam technology; dual-use export controls,0,Pre-revenue concept developer (medical spin-off aside),Pilot Line,Large funding ($1.2B) and successive prototype machines built,US:manufacturing,California-based operator; builds prototypes in-house,Boron-11,False,p-B11 fuel cycle target,0.3,medium,"Series C+ with $1.2B raised and named blue-chip investors (Chevron, Google, NEA, Sumitomo, Vulcan, Wellcome); pre-revenue but well capitalised.",0.7,high,Operator at Pilot Line with 0 customers despite 25+ years and $1.2B raised; commercial product still TRL-limited and no off-taker contracts signed.,0.55,medium,Pilot Line Operator with Boron-11 fuel dependency — a scarce isotopically separated material; single-country (US) manufacturing concentration.,0.4,medium,"US HQ with foreign minority ownership from tier-1/2 allies (JP Sumitomo, GB Wellcome); high export-control exposure (fusion fuel) raises CFIUS friction but no tier-3 risk.",1998,201-500,1200000000,tae.com,,,,,,True,Vulcan Inc. (Paul Allen estate) (US) | Google (Alphabet) (US) | Wellcome Trust (GB) | New Enterprise Associates (US) | Venrock (US),1,False,Beam-driven field-reversed configuration aimed at proton-boron fuel.,fia,https://www.fusionindustryassociation.org/members,,1.0,2026-05-18T14:33:00+00:00
type-one-energy,Type One Energy,US,1,aligned,4,subsystem_demo,Infinity-Two stellarator pilot-plant design; HSX-experience team; magnet R&D in progress,0.7,https://typeoneenergy.com/news,0,0,magnetic_confinement.stellarator,magnetic_confinement.stellarator,2,concept_stellarator,deterministic,0.9,approach tag 'magnetic_confinement.stellarator': Stellarator approach tag maps directly to stellarator concept node.,https://www.fusionindustryassociation.org/members,concept_stellarator|milestone_w7x_optimization_proof,deterministic|deterministic,0.90|0.70,approach tag 'magnetic_confinement.stellarator': Stellarator approach tag maps directly to stellarator concept node.|description match 'W7-?X/Wendelstein/stellarator': W7-X is the flagship optimised-stellarator physics proof.,https://www.fusionindustryassociation.org/members|https://www.fusionindustryassociation.org/members,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.9,Stellarator concept developer.,https://www.fusionindustryassociation.org/members,0.7,0.65,Industrial-scale stellarator with tritium pathway.,https://www.fusionindustryassociation.org/members,High,0.7,HTS stellarator tech export-controlled.,0,Pre-commercial concept.,Lab Scale,Design phase.,,,REBCO,False,HTS stellarator coils.,0.65,high,Funding stage and total unknown; no named investors; customer band 0. Sparse signals point to early-stage pre-revenue burn risk.,0.95,critical,"Capacity Lab Scale, customer band 0, TRL 4, role Operator. Low TRL and pre-revenue.",0.7,high,"Capacity Lab Scale, 1 critical materials (REBCO), 0 sole-sourced, reg-score 0.7. Manufacturing in 0 country(ies). High concentration risk.",0.55,medium,"HQ US (tier 1), foreign ownership None, manufacturing in n/a, export-control High. Tier-1 base with elevated export-control / cross-border factors.",2019,201-500,,typeoneenergy.com,https://www.linkedin.com/company/type-one-energy,Renewable Energy Power Generation,"Knoxville, Tennessee","fusion energy, stellarators, and plasma physics",201-500 employees,False,,,False,Stellarator with industrial-scale build approach; team from HSX / Princeton.,fia,https://www.fusionindustryassociation.org/members,,1.0,2026-05-11T14:52:49+00:00
vtt,VTT Technical Research Centre of Finland,FI,1,aligned,4,subsystem_demo,ITER materials supplier (austenitic steel weldments); Serpent neutronics code used industry-wide.,0.8,https://www.vttresearch.com/en/fusion-energy,0,0,,,2,concept_lts_tokamak,deterministic,0.55,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).,https://euro-fusion.org/eurofusion/members/,concept_lts_tokamak|concept_stellarator,deterministic|deterministic,0.55|0.45,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).|source signature 'euro-?fusion\.org': EUROfusion also covers W7-X stellarator programme — secondary tag.,https://euro-fusion.org/eurofusion/members/|https://euro-fusion.org/eurofusion/members/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.8,Finnish national research centre; EUROfusion member,https://euro-fusion.org/eurofusion/members/,0.55,0.6,National research centre with nuclear capabilities,https://euro-fusion.org/eurofusion/members/,Medium,0.55,National research centre with some dual-use exposure,6-20,Research centre offering contract research to industry,Lab Scale,National research centre,,,,False,,0.15,low,National lab / university research entity funded by government appropriations rather than VC; minimal burn-out risk.,0.15,low,"National lab / university research entity — not a commercial entity; revenue model is appropriated funding, not market sales.",0.2,low,Academic / lab research operator with no physical production line and no critical material dependencies.,0.25,low,Tier-1 HQ (FI) with medium export-control exposure; no tier-3 entanglement.,,1001-5000,,,https://www.linkedin.com/company/vtt-technical-research-centre-of-finland,Human Resources Services,"OSLO, Oslo",,,False,,,False,EUROfusion consortium member; acronym: VTT,manual,https://euro-fusion.org/eurofusion/members/,,0.6,2026-05-11T14:52:49+00:00
zap-energy,Zap Energy,US,1,aligned,4,subsystem_demo,FuZE-Q sheared-flow z-pinch demonstrated 1-2 keV electron temperature; pre-pilot research,0.8,https://zapenergy.com/news,0,0,inertial.z_pinch,inertial.z_pinch,1,concept_z_pinch,deterministic,0.95,approach tag 'inertial.z_pinch': Z-pinch approach tag maps directly to Z-pinch concept node.,https://www.fusionindustryassociation.org/members,concept_z_pinch,deterministic,0.95,approach tag 'inertial.z_pinch': Z-pinch approach tag maps directly to Z-pinch concept node.,https://www.fusionindustryassociation.org/members,,Series C+,Total raised >$100M — Series C or later indicative.,,,,0,Operator,0.9,Sheared-flow stabilised Z-pinch developer,https://www.fusionindustryassociation.org/members,0.55,0.6,Z-pinch developer; potential DT path; standard fusion regulatory exposure,https://www.fusionindustryassociation.org/members,Medium,0.6,Z-pinch pulsed-power technology has dual-use exposure,0,Operator building own device; no commercial customers yet,Lab Scale,Pre-commercial fusion startup,,,,False,,0.45,medium,"Series C+ with $323.5M raised demonstrates strong investor support, but operator with 0 customers and lab-scale only implies continued large burn. Healthy but pre-revenue.",0.85,critical,Pre-revenue fusion operator with 0 off-takers and Lab Scale TRL4. No demonstrated commercial market and net-energy break-even still pending — high probability of failing to achieve commercial traction.,0.55,high,Lab Scale only in Operator role — no manufacturing infrastructure yet; substantial CapEx and capability build-out remains.,0.25,medium,Tier-1 HQ (US) with Medium export-control exposure and no foreign-ownership flag; baseline allied jurisdiction risk only.,2017,51-200,323500000,zapenergy.com,https://www.linkedin.com/company/zap-energy,Energy Technology,"Everett, Washington","fusion energy, pulsed power, nuclear energy, renewable energy, sustainability, fission energy, and nuclear energy",51-200 employees,False,,,False,Sheared-flow stabilised Z-pinch.,fia,https://www.fusionindustryassociation.org/members,,1.0,2026-05-11T14:52:49+00:00
ctfusion,CTFusion,US,1,aligned,3,basic_research,Imposed-dynamo current drive spheromak demonstrated on HIT-SI; university-scale device,0.7,https://www.ctfusion.com/,0,0,alternative,alternative,1,concept_frc,llm,0.5,Imposed-dynamo current drive spheromak is a compact-toroid alternative; FRC is closest concept node in taxonomy.,https://www.fusionindustryassociation.org/members,concept_frc,llm,0.50,Imposed-dynamo current drive spheromak is a compact-toroid alternative; FRC is closest concept node in taxonomy.,https://www.fusionindustryassociation.org/members,Alternative > Spheromak,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.75,Spheromak/dynamo current drive concept developer,https://www.fusionindustryassociation.org/members,0.4,0.55,Spheromak research with standard fusion exposure,https://www.fusionindustryassociation.org/members,Medium,0.5,Plasma confinement R&D with dual-use potential,0,Early-stage concept developer not selling,Lab Scale,Early-stage research-focused company,,,,False,,0.6,high,"CTFusion has sparse financial inputs (stage='Unknown', funding undisclosed, customers='0'); defaulting medium-high risk based on pre-revenue operator profile.",0.8,high,CTFusion is a pre-commercial operator at Lab Scale with 0 customers and TRL 3; substantial commercial-traction risk – no off-takers or PPAs visible.,0.55,medium,CTFusion: Operator at Lab Scale; drivers: Lab Scale capacity (long road to production).,0.23,low,"CTFusion (US, tier=1): tier-1 HQ (US), Medium export exposure.",2015,,,ctfusion.com,,,,,,False,,,False,Imposed-dynamo current drive spheromak.,fia,https://www.fusionindustryassociation.org/members,,0.95,2026-05-11T14:52:49+00:00
ex-fusion,EX-Fusion,JP,1,aligned,3,basic_research,Japanese laser-fusion startup spun from Osaka University ILE; bench-scale laser demonstrations.,0.65,https://exf.co.jp/en/,0,0,inertial.laser_direct,inertial.laser_direct,1,concept_icf,deterministic,0.85,approach tag 'inertial.laser_direct': Direct-drive laser ICF approach tag — maps to ICF concept (driver detail captured separately).,https://www.fusionindustryassociation.org/about/members/,concept_icf,deterministic,0.85,approach tag 'inertial.laser_direct': Direct-drive laser ICF approach tag — maps to ICF concept (driver detail captured separately).,https://www.fusionindustryassociation.org/about/members/,,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.8,Laser-direct-drive ICF startup spun out from Osaka University ILE,https://www.fusionindustryassociation.org/about/members/,0.5,0.6,ICF laser fusion with standard regulatory exposure,https://www.fusionindustryassociation.org/about/members/,High,0.65,Advanced laser systems typically subject to export controls,0,Early-stage developer building own reactor,Lab Scale,University spinout early-stage,JP:manufacturing,Japanese spinout from Osaka University ILE operating in Japan,,False,,0.72,high,"EX-Fusion is a young (founded 2021) pre-revenue operator with vc_funding_stage='Unknown', no disclosed funding and 0 customers; opaque cap-table is a high-risk signal.",0.8,high,EX-Fusion is a pre-commercial operator at Lab Scale with 0 customers and TRL 3; substantial commercial-traction risk – no off-takers or PPAs visible.,0.55,medium,"EX-Fusion: Operator at Lab Scale; drivers: Lab Scale capacity (long road to production), single manufacturing country (JP).",0.35,medium,"EX-Fusion (JP, tier=1): tier-1 HQ (JP), High export control exposure.",2021,1-10,,ex-fusion.com,https://www.linkedin.com/company/ex-fusion,Research Services,"Osaka, Osaka",nuclear fusion and laser based fusion,2-10 employees,False,,,False,Laser-direct-drive inertial fusion startup; spinout from Osaka University ILE.,fia,https://www.fusionindustryassociation.org/about/members/,,1.0,2026-05-11T14:52:49+00:00
first-light-fusion,First Light Fusion,GB,1,aligned,3,basic_research,BFS amplifier proof-of-concept (2022) demonstrating projectile compression; pre-pilot research phase,0.75,https://firstlightfusion.com/news,0,0,alternative,alternative|inertial.laser_indirect,2,concept_icf,deterministic,0.85,approach tag 'inertial.laser_indirect': Indirect-drive laser ICF approach tag — maps to ICF concept; NIF-architecture lineage.,https://www.fusionindustryassociation.org/members,concept_icf|milestone_nif_ignition,deterministic|deterministic,0.85|0.55,approach tag 'inertial.laser_indirect': Indirect-drive laser ICF approach tag — maps to ICF concept; NIF-architecture lineage.|approach tag 'inertial.laser_indirect': Indirect-drive lineage frequently anchored on NIF ignition demonstration.,https://www.fusionindustryassociation.org/members|https://www.fusionindustryassociation.org/members,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,True,Ownership chain includes a non-HQ-country shareholder — flagged.,Braavos Capital (GB) | IP Group (GB) | Innovate UK / British Patient Capital (GB) | OSI (Hostplus) (AU) | Tencent (CN),5,Operator,0.9,Projectile-driven ICF concept developer end-to-end,https://www.fusionindustryassociation.org/members,0.55,0.6,ICF approach with DT fuel implied; pulsed power systems,https://www.fusionindustryassociation.org/members,High,0.65,ICF target amplifier technology and pulsed power are export-controlled,0,Pre-revenue concept developer,Lab Scale,Experimental concept-stage company,GB:manufacturing,UK-based operator with Oxford facility implied,Tritium / Deuterium,False,ICF approach; DT fuel typical,0.65,high,"Pre-revenue Operator (0 customers, Lab Scale) founded 2011, mix of UK government and minority CN (Tencent) investors; long burn with no near-term revenue, follow-on uncertain.",0.75,high,Operator at Lab Scale with 0 customers after 14 years; pivoting to inertial-confinement supplier model but commercial traction still absent.,0.6,high,Lab Scale Operator with Tritium/Deuterium fuel dependency and single-country (GB) manufacturing footprint; pilot-scale targets are constrained.,0.65,high,Tier-1 HQ (GB) but cap table includes tier-3 investor(s) (CN); CFIUS / NSI scrutiny likely.,2011,51-200,,firstlightfusion.com,https://www.linkedin.com/company/first-light-fusion,Research Services,"Yarnton, Oxfordshire","Physics, Fusion, Precision Manufacturing, Computational Physics, Empirical Validation, Data Driven Engineering, Clean Energy, Inertial Fusion, and Design Engineering",51-200 employees,True,IP Group (GB) | Tencent (CN) | OSI (Hostplus) (AU) | Braavos Capital (GB) | Innovate UK / British Patient Capital (GB),1,False,Projectile-driven inertial fusion using a target amplifier.,fia,https://www.fusionindustryassociation.org/members,,1.0,2026-05-11T14:52:49+00:00
focused-energy,Focused Energy,DE,1,aligned,3,basic_research,Direct-drive proton fast-ignition concept; collaboration with TU Darmstadt and LLNL alumni,0.7,https://focused-energy.world/news,0,0,inertial.laser_direct,inertial.laser_direct,2,concept_icf,deterministic,0.85,approach tag 'inertial.laser_direct': Direct-drive laser ICF approach tag — maps to ICF concept (driver detail captured separately).,https://www.fusionindustryassociation.org/members,concept_icf|milestone_nif_ignition,deterministic|deterministic,0.85|0.80,approach tag 'inertial.laser_direct': Direct-drive laser ICF approach tag — maps to ICF concept (driver detail captured separately).|description match 'NIF\b/National Ignition Facility/ignition': Description references NIF ignition — assigning to NIF ignition milestone.,https://www.fusionindustryassociation.org/members|https://www.fusionindustryassociation.org/members,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.8,Laser-direct-drive ICF concept developer with proton fast ignition,https://www.fusionindustryassociation.org/members,0.55,0.65,ICF concept involving advanced lasers and potentially tritium,https://www.fusionindustryassociation.org/members,High,0.7,Advanced laser ICF technology subject to ITAR/EAR controls,0,Developer building own reactor,Lab Scale,Early-stage company,DE:manufacturing | US:manufacturing,Description mentions US/German operations | Description mentions US/German operations,,False,,0.72,high,"Focused Energy is a young (founded 2021) pre-revenue operator with vc_funding_stage='Unknown', no disclosed funding and 0 customers; opaque cap-table is a high-risk signal.",0.8,high,Focused Energy is a pre-commercial operator at Lab Scale with 0 customers and TRL 3; substantial commercial-traction risk – no off-takers or PPAs visible.,0.55,medium,Focused Energy: Operator at Lab Scale; drivers: Lab Scale capacity (long road to production).,0.35,medium,"Focused Energy (DE, tier=1): tier-1 HQ (DE), High export control exposure.",2021,1-10,,focused-energy.world,https://www.linkedin.com/company/focused-energy,Consumer Services,"Suffield, Connecticut",,2-10 employees,False,,,False,Laser-direct-drive with proton fast ignition; US/German operations.,fia,https://www.fusionindustryassociation.org/members,,1.0,2026-05-11T14:52:49+00:00
gauss-fusion,Gauss Fusion,DE,1,aligned,3,basic_research,European stellarator consortium (2022); design-engineering phase; affiliated with Renaissance Fusion and Max Planck.,0.65,https://gaussfusion.com/,0,0,magnetic_confinement.stellarator,magnetic_confinement.stellarator,2,concept_stellarator,deterministic,0.9,approach tag 'magnetic_confinement.stellarator': Stellarator approach tag maps directly to stellarator concept node.,https://www.fusionindustryassociation.org/about/members/,concept_stellarator|milestone_w7x_optimization_proof,deterministic|deterministic,0.90|0.70,approach tag 'magnetic_confinement.stellarator': Stellarator approach tag maps directly to stellarator concept node.|description match 'W7-?X/Wendelstein/stellarator': W7-X is the flagship optimised-stellarator physics proof.,https://www.fusionindustryassociation.org/about/members/|https://www.fusionindustryassociation.org/about/members/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.75,European industrial consortium pursuing DEMO stellarator.,https://www.fusionindustryassociation.org/about/members/,0.7,0.65,DEMO-class stellarator with tritium pathway.,https://www.fusionindustryassociation.org/about/members/,High,0.6,DEMO-class fusion concept with full fusion tech stack.,0,Pre-commercial concept developer.,Lab Scale,Consortium in design phase.,,,Tritium,False,DEMO stellarator will need tritium.,0.65,high,Funding stage and total unknown; no named investors; customer band 0. Sparse signals point to early-stage pre-revenue burn risk.,1.0,critical,"Capacity Lab Scale, customer band 0, TRL 3, role Operator. Low TRL and pre-revenue.",0.7,high,"Capacity Lab Scale, 1 critical materials (Tritium), 0 sole-sourced, reg-score 0.7. Manufacturing in 0 country(ies). High concentration risk.",0.55,medium,"HQ DE (tier 1), foreign ownership None, manufacturing in n/a, export-control High. Tier-1 base with elevated export-control / cross-border factors.",2022,,,gauss-fusion.com,,,,,,False,,,False,European industrial consortium pursuing a DEMO-class stellarator.,fia,https://www.fusionindustryassociation.org/about/members/,,1.0,2026-05-11T14:52:49+00:00
helical-fusion,Helical Fusion,JP,1,aligned,3,basic_research,Japanese stellarator startup (2021) spun from NIFS; HTS-stellarator concept; pre-demonstration.,0.65,https://www.helicalfusion.com/,0,0,magnetic_confinement.stellarator,magnetic_confinement.stellarator,2,concept_stellarator,deterministic,0.9,approach tag 'magnetic_confinement.stellarator': Stellarator approach tag maps directly to stellarator concept node.,https://www.fusionindustryassociation.org/about/members/,concept_stellarator|milestone_w7x_optimization_proof,deterministic|deterministic,0.90|0.70,approach tag 'magnetic_confinement.stellarator': Stellarator approach tag maps directly to stellarator concept node.|description match 'W7-?X/Wendelstein/stellarator': W7-X is the flagship optimised-stellarator physics proof.,https://www.fusionindustryassociation.org/about/members/|https://www.fusionindustryassociation.org/about/members/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.8,Japanese stellarator startup commercialising NIFS heliotron tech,https://www.fusionindustryassociation.org/about/members/,0.55,0.55,Stellarator developer; tritium/HTS exposure ahead,https://www.fusionindustryassociation.org/about/members/,Medium,0.55,Fusion concept developer with dual-use components,0,Operator developing its own reactor,Lab Scale,Pre-commercial startup,,,,False,,0.7,high,"Founded 2021 Japanese stellarator spinout, 0 customers, lab-scale, TRL3, no disclosed funding total. Needs sustained capital for HTS-stellarator hardware; high pre-revenue burn risk.",0.85,critical,Pre-revenue fusion operator with 0 off-takers and Lab Scale TRL3. No demonstrated commercial market and net-energy break-even still pending — high probability of failing to achieve commercial traction.,0.55,high,Lab Scale only in Operator role — no manufacturing infrastructure yet; substantial CapEx and capability build-out remains.,0.25,medium,Tier-1 HQ (JP) with Medium export-control exposure and no foreign-ownership flag; baseline allied jurisdiction risk only.,2021,11-50,,helicalfusion.com,https://www.linkedin.com/company/helical-fusion,Renewable Energy Power Generation,Tokyo,,11-50 employees,False,,,False,Japanese stellarator startup commercialising NIFS heliotron technology.,fia,https://www.fusionindustryassociation.org/about/members/,,1.0,2026-05-11T14:52:49+00:00
ifmif-dones,IFMIF-DONES,ES,1,aligned,3,basic_research,Materials irradiation neutron source under construction in Granada; first operations target ~2030; pre-construction earthworks 2024+.,0.7,https://ifmif-dones.es/,0,0,,,1,tech_pfm,deterministic,0.65,description match 'materials irradiation/neutron source/fusion[-\s]materials': Description references materials-irradiation / fusion-materials work — PFM enabling-tech adjacent.,https://ifmif-dones.es/,tech_pfm,deterministic,0.65,description match 'materials irradiation/neutron source/fusion[-\s]materials': Description references materials-irradiation / fusion-materials work — PFM enabling-tech adjacent.,https://ifmif-dones.es/,,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.7,EU fusion-materials neutron source facility operator under construction,https://ifmif-dones.es/,0.7,0.7,Neutron source facility with nuclear regulatory exposure,https://ifmif-dones.es/,High,0.65,Neutron source technology subject to nuclear export controls,0,"Research facility, non-commercial",Pilot Line,Under construction in Granada,ES:assembly,"Facility under construction in Granada, Spain",,False,,0.15,low,IFMIF-DONES is a national lab / government-funded research institution; budgets come from state appropriations (not VC runway). Going-concern risk is low though program funding can fluctuate.,0.15,low,"IFMIF-DONES is a national lab / university — not a commercial entity. Commercial-traction risk is not applicable; marking low. (cap='Pilot Line', cust='0')",0.2,low,IFMIF-DONES is a research institution with no disclosed critical-material exposure; manufacturing scale-up risk is largely n/a (cap='Pilot Line').,0.35,medium,"IFMIF-DONES (ES, tier=1): tier-1 HQ (ES), High export control exposure.",2018,,,ifmif-dones.es,,,,,,False,,,False,"EU fusion-materials neutron source under construction in Granada, Spain.",manual,https://ifmif-dones.es/,,0.85,2026-05-11 19:03:57
innoven-energy,Innoven Energy,US,1,aligned,3,basic_research,Laser-driven ICF concept; pre-demonstration; bench-scale experiments.,0.55,,0,0,,,1,concept_icf,llm,0.85,Laser-driven ICF concept stated in description; direct map to ICF concept.,,concept_icf,llm,0.85,Laser-driven ICF concept stated in description; direct map to ICF concept.,,,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.6,Laser-driven ICF concept developer,,0.4,0.5,Early-stage ICF research,,Medium,0.55,Laser ICF technology dual-use potential,0,Early-stage research-focused,Lab Scale,Early-stage research per description,,,,False,,0.72,high,"Innoven Energy is a young (founded 2018) pre-revenue operator with vc_funding_stage='Unknown', no disclosed funding and 0 customers; opaque cap-table is a high-risk signal.",0.8,high,Innoven Energy is a pre-commercial operator at Lab Scale with 0 customers and TRL 3; substantial commercial-traction risk – no off-takers or PPAs visible.,0.55,medium,Innoven Energy: Operator at Lab Scale; drivers: Lab Scale capacity (long road to production).,0.23,low,"Innoven Energy (US, tier=1): tier-1 HQ (US), Medium export exposure.",2018,1-10,,,https://www.linkedin.com/company/innoven-energy,Research Services,"Solana Beach, CA","Fusion, Energy, Clean Energy, Lasers, Optics, Engineering, and Science and Environment",2-10 employees,False,,,False,Laser-driven ICF concept; early-stage research.,manual,,,0.55,2026-05-11 18:49:01
kaeri,KAERI — Korea Atomic Energy Research Institute,KR,1,aligned,3,basic_research,Materials and tritium R&D supporting KSTAR and ITER Korean Domestic Agency programme.,0.7,https://www.kaeri.re.kr/eng/,0,0,,,2,tech_tritium_breeding,deterministic,0.7,description match 'tritium/breeding blanket/breeder/\bDT fuel\b': Description references tritium / breeding blanket — tritium-breeding enabling-tech.,https://www.kaeri.re.kr/eng/,tech_tritium_breeding|tech_pfm,deterministic|deterministic,0.70|0.65,description match 'tritium/breeding blanket/breeder/\bDT fuel\b': Description references tritium / breeding blanket — tritium-breeding enabling-tech.|description match 'materials irradiation/neutron source/fusion[-\s]materials': Description references materials-irradiation / fusion-materials work — PFM enabling-tech adjacent.,https://www.kaeri.re.kr/eng/|https://www.kaeri.re.kr/eng/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.7,South Korean state atomic energy research institute; fusion materials/tritium,https://www.kaeri.re.kr/eng/,0.75,0.7,State atomic-energy institute with tritium and PFM research,https://www.kaeri.re.kr/eng/,High,0.7,Nuclear/tritium R&D at a state atomic agency,Unknown,State agency,Lab Scale,Research institute scale,KR:manufacturing,Korean state institute conducting materials/tritium research onsite,Tritium,False,Tritium breeding listed as tech tree node,0.15,low,"Government-funded national lab / university research entity; not VC-dependent. Operates on programmatic budgets, not commercial revenue. Financial sustainability tied to public funding rather than burn rate.",0.15,low,"Not a commercial entity — public research institution / open-source project; commercial market-traction risk is not applicable. Mission is research, not product sales.",0.6,high,Uses critical materials (Tritium) but capacity is Lab Scale; scaling production of niche materials creates bottleneck risk.,0.4,medium,Tier-1 HQ (KR) with High export-control exposure (typical for HTS magnets / tritium / ICF / laser tech); manageable via licensing but adds friction to international sales.,1959,,,kaeri.re.kr,,,,,,False,,,False,South Korean state atomic energy research institute; fusion-materials and tritium research.,manual,https://www.kaeri.re.kr/eng/,,0.85,2026-05-11 19:03:57
